timestamp,frame,processing_ms,fps,cpu_percent,ram_mb,num_hands
2025-12-01T20:57:47.913406,0,55.251,4.18,29.0,12498.4,0
2025-12-01T20:57:48.814748,1,53.721,1.11,42.6,12514.8,0
2025-12-01T20:57:48.877967,2,48.905,15.76,73.3,12527.2,0
2025-12-01T20:57:48.925713,3,42.868,21.05,35.7,12533.1,0
2025-12-01T20:57:48.967950,4,37.399,23.56,23.5,12534.0,0
2025-12-01T20:57:48.998395,5,26.125,32.62,19.4,12524.9,0
2025-12-01T20:57:49.023244,6,21.279,40.23,17.2,12525.1,0
2025-12-01T20:57:49.047626,7,20.776,40.98,17.2,12525.4,0
2025-12-01T20:57:49.080112,8,28.723,30.84,13.5,12523.4,0
2025-12-01T20:57:49.115863,9,31.761,27.98,19.0,12523.4,0
2025-12-01T20:57:49.148073,10,28.166,31.02,15.8,12523.4,0
2025-12-01T20:57:49.184460,11,32.295,27.6,19.0,12523.7,0
2025-12-01T20:57:49.238742,12,49.806,18.36,90.6,12523.7,0
2025-12-01T20:57:49.308438,13,64.978,14.42,78.3,12524.2,0
2025-12-01T20:57:49.358545,14,35.535,19.96,59.3,12524.2,0
2025-12-01T20:57:49.406910,15,42.709,20.53,93.2,12524.8,0
2025-12-01T20:57:49.432499,16,21.637,39.47,20.7,12525.0,0
2025-12-01T20:57:49.466307,17,29.437,29.48,17.1,12525.0,0
2025-12-01T20:57:49.496832,18,26.616,32.67,13.9,12525.3,0
2025-12-01T20:57:49.525190,19,24.331,35.2,14.7,12525.3,0
2025-12-01T20:57:49.559428,20,30.639,29.23,10.3,12525.5,0
2025-12-01T20:57:49.590387,21,27.009,32.42,15.8,12525.8,0
2025-12-01T20:57:49.625507,22,31.268,28.36,14.3,12525.8,0
2025-12-01T20:57:49.653233,23,23.932,36.12,12.5,12525.8,0
2025-12-01T20:57:49.681058,24,24.006,35.97,12.1,12522.1,0
2025-12-01T20:57:49.707874,25,23.049,37.2,12.9,12522.1,0
2025-12-01T20:57:49.740410,26,28.784,30.78,13.2,12522.1,0
2025-12-01T20:57:49.772765,27,28.496,30.88,17.5,12522.3,0
2025-12-01T20:57:49.803928,28,27.102,32.24,11.4,12522.3,0
2025-12-01T20:57:49.833598,29,25.765,33.53,13.9,12522.0,0
2025-12-01T20:57:49.866248,30,28.951,30.65,15.4,12522.0,0
2025-12-01T20:57:49.898230,31,27.858,31.37,13.5,12520.6,0
2025-12-01T20:57:49.928401,32,26.543,33.02,16.7,12520.6,0
2025-12-01T20:57:49.956269,33,24.153,35.95,12.5,12520.6,0
2025-12-01T20:57:49.988959,34,28.496,30.69,15.4,12520.8,0
2025-12-01T20:57:50.019821,35,26.793,32.3,13.5,12520.8,0
2025-12-01T20:57:50.054578,36,30.548,28.82,14.6,12520.8,0
2025-12-01T20:57:50.083525,37,25.057,34.55,14.3,12520.8,0
2025-12-01T20:57:50.115503,38,27.688,31.26,17.9,12520.8,0
2025-12-01T20:57:50.153412,39,33.735,26.49,13.6,12520.8,0
2025-12-01T20:57:50.182970,40,25.881,33.58,14.3,12520.8,0
2025-12-01T20:57:50.213716,41,26.688,32.55,13.5,12520.8,0
2025-12-01T20:57:50.245979,42,27.912,30.95,13.2,12520.8,0
2025-12-01T20:57:50.277358,43,27.532,31.88,13.5,12520.8,0
2025-12-01T20:57:50.305848,44,24.53,35.2,15.2,12520.8,0
2025-12-01T20:57:50.340370,45,29.955,29.03,17.5,12521.1,0
2025-12-01T20:57:50.375938,46,30.918,28.04,18.6,12521.3,0
2025-12-01T20:57:50.406637,47,26.496,32.57,13.9,12521.3,0
2025-12-01T20:57:50.438691,48,27.597,31.18,15.4,12521.3,0
2025-12-01T20:57:50.474150,49,31.179,28.2,16.3,12521.3,0
2025-12-01T20:57:50.507509,50,29.325,30.01,10.5,12521.3,0
2025-12-01T20:57:50.541164,51,29.602,29.66,16.7,12521.5,0
2025-12-01T20:57:50.574236,52,29.134,30.27,10.8,12521.5,0
2025-12-01T20:57:50.605152,53,26.961,32.33,13.5,12521.5,0
2025-12-01T20:57:50.638097,54,27.814,30.35,13.2,12521.5,0
2025-12-01T20:57:50.672639,55,30.375,29.03,17.5,12521.3,0
2025-12-01T20:57:50.705509,56,28.979,30.35,14.6,12518.0,0
2025-12-01T20:57:50.737152,57,27.23,31.61,15.8,12518.3,0
2025-12-01T20:57:50.768601,58,26.745,31.73,8.6,12518.3,0
2025-12-01T20:57:50.800640,59,26.551,31.28,15.4,12518.4,0
2025-12-01T20:57:50.836616,60,26.365,27.76,9.5,12518.4,0
2025-12-01T20:57:50.867872,61,26.094,31.96,15.8,12518.4,0
2025-12-01T20:57:50.899536,62,25.428,31.69,13.2,12509.8,0
2025-12-01T20:57:50.938786,63,28.332,25.42,14.9,12510.5,0
2025-12-01T20:57:51.005351,64,62.105,15.08,14.1,12519.7,0
2025-12-01T20:57:51.113448,65,103.656,9.23,63.6,12520.5,0
2025-12-01T20:57:51.144595,66,27.469,32.16,11.1,12520.5,0
2025-12-01T20:57:51.202732,67,54.22,17.18,11.6,12520.5,1
2025-12-01T20:57:51.252971,68,46.234,19.92,11.7,12520.5,1
2025-12-01T20:57:51.303904,69,46.606,19.63,12.9,12520.5,1
2025-12-01T20:57:51.357610,70,49.689,18.62,9.5,12520.5,1
2025-12-01T20:57:51.408972,71,47.438,19.49,14.8,12520.5,1
2025-12-01T20:57:51.459592,72,46.334,19.8,13.1,12520.5,1
2025-12-01T20:57:51.508578,73,44.972,20.43,15.3,12520.5,1
2025-12-01T20:57:51.557808,74,45.297,20.21,11.9,12520.5,1
2025-12-01T20:57:51.609935,75,48.379,19.2,11.3,12520.5,1
2025-12-01T20:57:51.661834,76,47.86,19.28,11.5,12520.5,1
2025-12-01T20:57:51.706020,77,40.059,22.59,13.0,12520.5,1
2025-12-01T20:57:51.750315,78,40.444,22.59,11.5,12521.0,1
2025-12-01T20:57:51.796730,79,42.694,21.54,12.5,12521.0,1
2025-12-01T20:57:51.840317,80,39.846,22.95,11.5,12521.0,1
2025-12-01T20:57:51.885885,81,41.71,21.97,11.3,12521.2,1
2025-12-01T20:57:51.940491,82,50.28,18.36,13.8,12521.2,1
2025-12-01T20:57:51.993575,83,49.47,18.79,23.8,12521.2,1
2025-12-01T20:57:52.050431,84,51.951,17.62,37.3,12521.2,1
2025-12-01T20:57:52.095545,85,40.828,22.12,41.1,12521.7,1
2025-12-01T20:57:52.165121,86,65.853,14.37,50.0,12521.7,1
2025-12-01T20:57:52.208049,87,39.202,23.26,39.2,12521.7,1
2025-12-01T20:57:52.262982,88,51.277,18.2,26.9,12521.7,1
2025-12-01T20:57:52.307956,89,41.183,22.24,9.6,12521.7,1
2025-12-01T20:57:52.354834,90,43.126,21.33,12.5,12521.7,1
2025-12-01T20:57:52.400343,91,41.808,21.98,12.7,12521.7,1
2025-12-01T20:57:52.449787,92,45.686,20.25,10.2,12521.7,1
2025-12-01T20:57:52.500698,93,46.784,19.63,11.7,12521.7,1
2025-12-01T20:57:52.554516,94,49.714,18.58,21.2,12515.7,1
2025-12-01T20:57:52.606669,95,48.251,19.17,11.5,12516.5,1
2025-12-01T20:57:52.656188,96,45.78,20.22,10.2,12516.5,1
2025-12-01T20:57:52.702682,97,42.786,21.5,10.9,12516.5,1
2025-12-01T20:57:52.750908,98,44.295,20.72,12.1,12516.8,1
2025-12-01T20:57:52.806838,99,51.727,17.9,11.9,12516.8,1
2025-12-01T20:57:52.853130,100,42.328,21.6,10.9,12516.8,1
2025-12-01T20:57:52.912603,101,55.643,16.82,10.0,12516.9,1
2025-12-01T20:57:52.967575,102,50.783,18.24,12.3,12516.9,1
2025-12-01T20:57:53.031664,103,59.23,15.6,18.2,12514.5,1
2025-12-01T20:57:53.080950,104,45.463,20.23,11.9,12514.8,1
2025-12-01T20:57:53.140512,105,55.543,16.79,11.4,12514.8,1
2025-12-01T20:57:53.195443,106,50.797,18.2,10.8,12514.8,1
2025-12-01T20:57:53.246612,107,47.01,19.56,10.0,12514.8,1
2025-12-01T20:57:53.292726,108,42.531,21.63,12.5,12514.8,1
2025-12-01T20:57:53.345702,109,49.16,18.89,14.3,12514.8,1
2025-12-01T20:57:53.389989,110,39.795,22.59,11.3,12514.8,1
2025-12-01T20:57:53.434876,111,40.972,22.28,9.6,12514.8,1
2025-12-01T20:57:53.486462,112,47.213,19.37,11.3,12514.8,1
2025-12-01T20:57:53.529652,113,39.553,23.14,11.8,12514.8,1
2025-12-01T20:57:53.580315,114,46.977,19.76,13.3,12514.8,1
2025-12-01T20:57:53.626720,115,42.619,21.53,11.1,12514.8,1
2025-12-01T20:57:53.675642,116,45.216,20.46,13.3,12514.8,1
2025-12-01T20:57:53.723007,117,43.375,21.11,12.3,12514.8,1
2025-12-01T20:57:53.770118,118,42.99,21.23,10.7,12514.8,1
2025-12-01T20:57:53.821639,119,47.524,19.46,10.0,12514.8,1
2025-12-01T20:57:53.876820,120,51.399,18.08,12.1,12514.8,1
2025-12-01T20:57:53.931889,121,51.089,18.16,12.1,12514.8,1
2025-12-01T20:57:53.980705,122,44.93,20.47,12.1,12514.8,1
2025-12-01T20:57:54.028015,123,43.322,21.16,12.3,12514.8,1
2025-12-01T20:57:54.072666,124,40.801,22.37,11.3,12514.8,1
2025-12-01T20:57:54.121171,125,44.698,20.64,12.1,12514.8,1
2025-12-01T20:57:54.173811,126,48.723,19.0,11.3,12514.8,1
2025-12-01T20:57:54.220630,127,42.832,21.36,12.3,12514.8,1
2025-12-01T20:57:54.262437,128,37.523,23.9,14.0,12514.8,1
2025-12-01T20:57:54.309802,129,43.658,21.13,10.7,12514.8,1
2025-12-01T20:57:54.356179,130,42.211,21.54,12.5,12514.8,1
2025-12-01T20:57:54.400317,131,40.248,22.66,11.3,12514.8,1
2025-12-01T20:57:54.446477,132,42.102,21.74,11.1,12514.8,1
2025-12-01T20:57:54.495807,133,45.454,20.2,13.3,12514.8,1
2025-12-01T20:57:54.543405,134,43.745,21.01,12.3,12514.8,1
2025-12-01T20:57:54.593689,135,46.596,19.88,11.7,12514.8,1
2025-12-01T20:57:54.642984,136,45.489,20.31,10.3,12514.8,1
2025-12-01T20:57:54.690343,137,43.073,21.12,12.3,12514.8,1
2025-12-01T20:57:54.744455,138,49.96,18.46,10.9,12514.8,1
2025-12-01T20:57:54.799481,139,51.366,18.17,12.1,12514.8,1
2025-12-01T20:57:54.845457,140,42.313,21.76,10.9,12514.8,1
2025-12-01T20:57:54.890576,141,41.379,22.15,11.3,12514.8,1
2025-12-01T20:57:54.933815,142,39.52,23.16,11.5,12514.8,1
2025-12-01T20:57:54.980074,143,42.071,21.63,14.3,12514.7,0
